danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.758,0.48,1,-9.776,1,0.213,0.0341,1.56E-06,0.279,0.243,98.558,112708,TRUE,2,Top Opp 2,ynslilblake,5cRJaUEtgfHuNZKc1IAYH2
0.53,0.745,1,-6.136,1,0.417,0.0683,0,0.192,0.91,178.117,146155,TRUE,8,Stay The Course,Satin,7b4ZGWIGTNsXAZkILwCCsW
0.476,0.0106,10,-20.771,1,0.117,0.828,0.378,0.109,0.746,207.198,58733,FALSE,1,Happy Birthday,Classical Lullabies TaTaTa,52tammgywRikc5airyrWfS
0.451,0.0758,2,-18.348,1,0.264,0.983,0.723,0.183,0.863,180.986,56543,FALSE,1,"Head, Shoulders, Knee And Toes",Classical Lullabies TaTaTa,3PzPd6jhXCHy8skh5fahSm
0.651,0.112,2,-19.366,1,0.302,0.98,0.23,0.493,0.671,107.357,77181,FALSE,1,Lavender's Blue,Classical Lullabies TaTaTa,2gyG9NjPuBMTTzuFziAjlg
0.829,0.0332,2,-20.896,1,0.119,0.991,0.113,0.382,0.884,108.641,48479,FALSE,1,London Bridge,Classical Lullabies TaTaTa,7gzBdhUHisyTFLvOdTiIYh
0.724,0.0204,2,-20.748,0,0.0757,0.968,0.393,0.108,0.53,100.886,75158,FALSE,1,Ba Ba Black Sheep,Classical Lullabies TaTaTa,5FdhtVvNSFMxDMwJn4eKoo
0.695,0.0926,11,-17.108,0,0.161,0.976,0.116,0.162,0.523,69.18,70877,FALSE,1,The Itsy Bitsy Spider,Classical Lullabies TaTaTa,4R9OIaic0WuA40tMV7ZMw3
0.658,0.0433,1,-18.886,1,0.27,0.769,0.236,0.0994,0.784,119.691,118859,FALSE,1,The Wheels On The Bus,Classical Lullabies TaTaTa,4hMfpo3WnId5vhHuMFdYdE
0.593,0.0774,5,-19.14,1,0.196,0.676,0.507,0.212,0.796,89.182,89475,FALSE,1,Brahms,Classical Lullabies TaTaTa,22ceSdU2wlkNjuirvL0YTr
0.717,0.0422,11,-17.662,0,0.164,0.753,0.242,0.079,0.547,109.021,69583,FALSE,1,Twinkle Twinkle Little Star,Classical Lullabies TaTaTa,45w0bd4DqUyjAWzTzgiDau
0.531,0.592,6,-11.658,0,0.0359,0.00758,0.561,0.594,0.35,119.948,298500,FALSE,8,Light the Fire,The Consequences of Our Own Actions,5KEPRpsnM3e2AZpADhFAwR
0.187,0.403,0,-16.342,1,0.0881,0.98,0.992,0.156,0.297,80.011,74344,FALSE,0,Intro,Love Noka,1MkXLKDhJX3DlDM6KxD2cl
0.361,0.714,0,-4.629,1,0.037,0.00153,0.000489,0.109,0.326,168.394,331531,FALSE,2,Can't Breathe,Love Noka,4ELk6NnoiinMggup9hH37x
0.376,0.657,7,-4.638,0,0.0316,0.0269,0.00553,0.0899,0.353,142.532,290531,FALSE,1,Someone Like You,Love Noka,3Yi8skfHdggEVfEBTfRBru
0.275,0.663,1,-5.585,1,0.044,0.00498,0.00993,0.328,0.366,163.645,310771,FALSE,1,Would You Notice,Love Noka,6xf0AP9YUd48VgCI6S8AtL
0.217,0.772,10,-3.948,1,0.041,0.000392,0.00133,0.0952,0.377,169.908,261217,FALSE,1,Too Late,Love Noka,0IB9MFNKWe3kZtOc3QKj7z
0.219,0.695,10,-4.618,1,0.0338,0.00277,0.0148,0.166,0.322,89.785,545649,FALSE,4,All That Glitters Is Not Gold,Love Noka,3J0yLR5mR5g9iA3mGi9m8z
0.691,0.435,11,-12.821,0,0.0434,0.529,0.18,0.116,0.33,179.012,193123,FALSE,8,Go Hard for This,GhostEntertainmentMusic,2uEPp8MPwCm9wUAlNu9fkq
0.8,0.716,11,-5.753,0,0.316,0.0564,0,0.115,0.951,158.078,121574,TRUE,8,I CAN'T,DTAP,3qTB2Z8OKCoEJ1U264d9O2
0.726,0.774,1,-5.811,1,0.185,0.00397,0,0.104,0.28,131.993,122276,TRUE,8,Go Through,LilRyan,34v2guhBGL5Vo5iXYESRu4
0.594,0.651,10,-9.927,0,0.0893,0.318,0,0.0897,0.361,97.035,113499,FALSE,8,Rise,Vicious Teknique,4RzLbopjo7l67GYtgoigp7
0.727,0.487,6,-11.86,0,0.545,0.539,0,0.1,0.354,83.244,195866,TRUE,8,Legendary,Jay Brown the Cowboy Boss,1R2Srw829kzjFgEeaWLDFU
0.676,0.585,9,-9.779,1,0.185,0.184,0,0.0514,0.955,78.497,166367,FALSE,4,Vaccine,Da Foundation,2Uxm5na31zyA1PKGkritgr
0.344,0.943,6,-6.277,1,0.158,0.000391,0.172,0.329,0.129,138.992,181630,FALSE,3,Does Houdini Have a Deathwish?,Brett Schleicher,0nV7zbDff8rfY6H9aBENaR
0.486,0.965,5,-6.414,1,0.105,0.00633,0.427,0.223,0.169,115,188135,FALSE,2,Game Over,Brett Schleicher,2igS3qaYgjPnKu2uxq07vo
0.341,0.97,6,-6.588,1,0.155,0.000304,0.744,0.0688,0.215,129.997,217392,TRUE,2,Hand Banana,Brett Schleicher,20q1PYDPKjfw9Ck5alqmFQ
0.426,0.92,6,-7.878,1,0.0707,0.000363,0.746,0.112,0.248,118.244,128158,FALSE,2,Ice Cream with Berserker,Brett Schleicher,6ggm6r57Nd59tHfn5KyP7L
0.775,0.572,9,-6.694,0,0.231,0.104,0,0.0935,0.762,144.125,271961,TRUE,8,Playas Still Alive,TEXAS BOYZ,07R80ODNCSXrZWzDe7Z7d6
0.803,0.7,2,-8.794,1,0.0524,0.0671,7.09E-06,0.0677,0.809,115.176,199213,FALSE,1,We Are Family,Sister Sledge,6xOtbEX1BNh3NetC93SOGV
0.902,0.839,7,-6.736,1,0.0662,0.00373,8.79E-05,0.0859,0.857,118.485,329973,FALSE,0,Le Freak,CHIC,5RzIr1Gvbqiub9iL4LjbwZ
0.685,0.914,5,-9.031,0,0.0393,0.16,0.0802,0.329,0.914,108.662,185467,FALSE,0,That's the Way (I Like It),KC & The Sunshine Band,6cvP2COAcgG5YV1DDTRLed
0.766,0.844,10,-3.851,1,0.0361,0.0261,0.605,0.18,0.835,129.323,191573,FALSE,1,Disco Inferno (Single Edit),The Trammps,59s7rxZJyjVRIn49n2h794
0.761,0.894,1,-5.671,1,0.0794,0.0136,0.0258,0.331,0.872,123.886,524627,FALSE,0,Street Player - Dance Mix,Chicago,6wELwR1SFZ2Qrejpdo8lpg
0.788,0.733,5,-5.453,1,0.0592,0.53,0.00117,0.167,0.962,105.886,244427,FALSE,1,You Sexy Thing,Hot Chocolate,1j5WCqFXMBPIPo5L3ftpfD
0.594,0.906,1,-5.536,1,0.0594,0.169,0.00122,0.0778,0.892,104.411,200053,FALSE,0,Rock Your Baby,George McCrae,1DEvGkoq0EuNjUtozuJGRE
0.69,0.496,7,-12.978,0,0.0314,0.214,4.21E-06,0.368,0.889,115.578,232880,FALSE,0,Young Hearts Run Free,Candi Staton,73nGyfgpx0vucOO0QD4ylF
0.55,0.547,5,-11.171,0,0.0727,0.255,4.15E-05,0.36,0.819,111.609,289333,FALSE,0,Street Life (Edit),Randy Crawford,2CloFywVDgEHa0G1LzdEmd
0.574,0.641,5,-11.798,0,0.0491,0.000263,0.224,0.154,0.874,115.041,502907,FALSE,0,I'm Every Woman - Remix,Chaka Khan,61DdouKtAB9mK6ezL4VHBa
0.821,0.611,10,-9.795,1,0.0555,0.414,0.000152,0.0943,0.96,97.264,444133,FALSE,0,The Rubberband Man,The Spinners,1xIrTI7T1g9GGrtFkF27Vx
0.669,0.816,11,-10.759,0,0.0336,0.396,0.0383,0.162,0.881,120.39,303573,FALSE,0,Going Back to My Roots,Richie Havens,1R9SFtFNGxhpGFP4KmxFSe
0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,165790,FALSE,0,Move On Up,Curtis Mayfield,5BaQIYb9kT4NtxPLkYlBI2
0.679,0.908,5,-7.776,1,0.0588,0.105,0.238,0.0316,0.661,121.135,320133,FALSE,0,Tonight I'm Alright,Narada Michael Walden,0cd9odYZ6QUyQBSIZUxi0X
0.548,0.723,2,-10.305,1,0.0412,0.0348,5.11E-05,0.0993,0.406,116.785,305533,FALSE,0,Is It Love You're After,Rose Royce,5g9PKB1i69t0md5MVLypgE
